,country,inf_mort2019,life_expt,continent,pop2019
125,Rwanda,31.1,66.4,Africa,12626938.0
126,Saudi Arabia,6.3,77.3,Asia,34268529.0
127,Sudan,41.0,65.9,Africa,42813237.0
128,Senegal,29.8,68.5,Africa,16296362.0
129,Singapore,2.0,83.8,Asia,5703569.0
130,Solomon Islands,17.1,70.4,Oceania,669821.0
131,Sierra Leone,82.4,60.3,Africa,7813207.0
132,El Salvador,11.5,72.6,Americas,6453550.0
133,San Marino,1.6,83.0,Europe,33864.0
134,Somalia,74.8,57.1,Africa,15442906.0
135,Serbia,4.9,76.7,Europe,6945235.0
136,South Sudan,63.3,55.9,Africa,11062114.0
137,Sao Tome and Principe,13.5,68.5,Africa,215048.0
138,Suriname,16.2,72.2,Americas,581363.0
139,Slovenia,1.8,81.6,Europe,2088385.0
140,Sweden,2.2,83.1,Europe,10278887.0
141,Eswatini,37.7,60.5,Africa,1148133.0
142,Seychelles,12.3,74.2,Africa,97625.0
143,Chad,69.0,53.3,Africa,15946882.0
144,Togo,45.5,60.9,Africa,8082359.0
145,Thailand,7.7,79.0,Asia,69625581.0
146,Tajikistan,29.2,70.9,Asia,9321023.0
147,Turkmenistan,36.6,69.0,Asia,5942094.0
148,Tonga,10.0,70.9,Oceania,104497.0
149,Trinidad and Tobago,15.4,74.2,Americas,1394969.0
150,Tunisia,14.5,76.0,Africa,11694721.0
151,Tuvalu,19.3,64.3,Oceania,11655.0
152,Tanzania,35.8,67.0,Africa,58005461.0
153,Uganda,33.0,63.0,Africa,44269587.0
154,Ukraine,7.2,74.5,Europe,44386203.0
155,Uruguay,5.8,77.5,Americas,3461731.0
156,United States,5.5,79.1,Americas,328329953.0
157,Uzbekistan,13.3,71.3,Asia,33580350.0
158,Vietnam,16.9,74.1,Asia,96462108.0
159,Vanuatu,21.6,69.9,Oceania,299882.0
160,Samoa,15.0,72.2,Oceania,197093.0
161,South Africa,26.3,66.2,Africa,58558267.0
162,Zambia,42.9,62.8,Africa,17861034.0
163,Zimbabwe,38.1,61.3,Africa,14645473.0
